No config path provided, using default 'drizzle.config.ts'
Reading config file 'D:\Maxx-Projects\RVClaims-webapp\RVClaimsca\drizzle.config.ts'
59 tables
audit_log 8 columns 2 indexes 0 fks
blog_categories 5 columns 0 indexes 0 fks
blog_posts 24 columns 0 indexes 0 fks
bookings 14 columns 0 indexes 0 fks
campaign_templates 11 columns 2 indexes 0 fks
campaigns 18 columns 3 indexes 0 fks
claim_frc_lines 11 columns 1 indexes 0 fks
claims 30 columns 4 indexes 0 fks
client_parts_orders 20 columns 3 indexes 0 fks
consignment_agreements 16 columns 4 indexes 0 fks
consignors 15 columns 2 indexes 0 fks
contacts 9 columns 0 indexes 0 fks
content_queue 12 columns 0 indexes 1 fks
crm_activities 8 columns 0 indexes 1 fks
crm_attachments 8 columns 0 indexes 1 fks
crm_dealer_tags 4 columns 0 indexes 2 fks
crm_pipeline 12 columns 0 indexes 1 fks
crm_tags 4 columns 0 indexes 0 fks
dealer_listings 42 columns 6 indexes 0 fks
dealer_messages 16 columns 0 indexes 1 fks
dealer_reviews 12 columns 0 indexes 1 fks
dealerships 47 columns 0 indexes 0 fks
documents 10 columns 0 indexes 0 fks
email_events 9 columns 4 indexes 0 fks
events 14 columns 6 indexes 0 fks
feature_requests 9 columns 0 indexes 0 fks
fi_deals 14 columns 0 indexes 0 fks
financing_applications 17 columns 3 indexes 0 fks
financing_requests 15 columns 0 indexes 0 fks
invitations 10 columns 2 indexes 0 fks
invoice_line_items 8 columns 0 indexes 0 fks
invoices 21 columns 2 indexes 0 fks
landing_pages 14 columns 3 indexes 0 fks
leads 16 columns 4 indexes 0 fks
lender_integrations 11 columns 0 indexes 0 fks
lender_submissions 16 columns 3 indexes 0 fks
lenders 19 columns 1 indexes 0 fks
loan_deals 16 columns 3 indexes 0 fks
network_waitlist 4 columns 0 indexes 0 fks
notification_deliveries 17 columns 5 indexes 0 fks
notifications 9 columns 2 indexes 0 fks
parts_orders 13 columns 0 indexes 0 fks
photo_batches 13 columns 2 indexes 0 fks
photos 11 columns 2 indexes 0 fks
platform_settings 3 columns 0 indexes 0 fks
products 10 columns 0 indexes 0 fks
quick_chat_messages 6 columns 0 indexes 0 fks
quote_requests 16 columns 0 indexes 2 fks
service_appointments 17 columns 4 indexes 0 fks
sessions 6 columns 1 indexes 0 fks
technicians 12 columns 3 indexes 0 fks
ticket_messages 8 columns 0 indexes 0 fks
tickets 13 columns 2 indexes 0 fks
units 27 columns 2 indexes 0 fks
user_notification_preferences 5 columns 0 indexes 0 fks
users 16 columns 3 indexes 0 fks
warranty_plans 11 columns 0 indexes 0 fks
work_order_labor 9 columns 2 indexes 0 fks
work_orders 20 columns 5 indexes 0 fks

[✓] Your SQL migration file ➜ migrations\0000_rainy_pete_wisdom.sql 🚀
